domain;dois_number;mean_visibility_index
http://130.179.67.140/;7;0.0
http://amsacta.unibo.it/;63;0.010393333333333333
http://apps.socib.es/;1;3.3333333333333335e-05
http://archive.sciendo.com/;1;0.0
http://bordar.bournemouth.ac.uk/;1;9.999999999999999e-06
http://cssp.chemspider.com/;10;0.0
http://curation.hsrc.ac.za/;6;0.0
http://cxidb.org/;5;0.0
http://data.sciencespo.fr/;12;0.0
http://data.utm.csic.es/;4;0.0
http://datadoi.ee/;2;0.0
http://digital.ucd.ie/;87;0.01633
http://doi.apa.org/;2;0.0005733333333333334
http://envjournal.ru/;5;0.0
http://eprints.lincoln.ac.uk/;2;0.00114
http://esdcdoi.esac.esa.int/;60;0.0
http://gigadb.org/;1;3e-05
http://ijomeh.eu/;1;0.0004
http://ipt.vertnet.org/;1;0.0
http://irep.ntu.ac.uk/;1;0.0010566666666666667
http://nesstar.soc.cas.cz/;1;0.0
http://nomisma.org/;1;0.0002866666666666667
http://open-science.ub.ovgu.de/;2;0.0
http://opendata.pku.edu.cn/;1;0.0
http://pubs.asha.org/;700;0.003666666666666666
http://pubsonline.informs.org/;750;0.02594
http://reactome.org/;6;0.00734
http://research-data.urosario.edu.co/;4;0.0
http://scitation.org/;22;0.0
http://sead-published.ncsa.illinois.edu/;3;0.0
http://sedici.unlp.edu.ar/;1;0.040143333333333336
http://www.archive.arm.gov/;1;0.0
http://www.boldsystems.org/;2;0.0008
http://www.cellimagelibrary.org/;7;0.0020666666666666667
http://www.e-enlightenment.com/;19;3.3333333333333335e-05
http://www.epigraphiclandscape.unito.it/;1;0.0
http://www.homepages.ucl.ac.uk/;1;0.004883333333333333
http://www.internano.org/;99;0.0029333333333333334
http://www.isc.ac.uk/;4;0.00016666666666666666
http://www.research.lancs.ac.uk/;1;0.005083333333333333
http://www.scitation.org/;137;0.0
http://www.scivee.tv/;1270;9.999999999999999e-06
https://a2e.energy.gov/;18;0.0
https://academiccommons.columbia.edu/;2;0.00126
https://access.clarivate.com/;68;0.013903333333333332
https://access.portico.org/;2;0.0001933333333333333
https://account.wolfram.com/;3;0.0017500000000000005
https://acuresearchbank.acu.edu.au/;57;0.0
https://adc.arm.gov/;12;3e-05
https://alaska.usgs.gov/;2;3e-05
https://ameriflux.lbl.gov/;72;0.00014
https://aperta.ulakbim.gov.tr/;1;0.00031
https://api.odp.saeon.ac.za/;1;0.0
https://aquila.usm.edu/;3;0.0007799999999999999
https://archaeology.datastations.nl/;3;0.0
https://archaeologydataservice.ac.uk/;15;0.010176666666666667
https://archive.data.jhu.edu/;30;0.0
https://archive.materialscloud.org/;3;0.0
https://arcticdata.io/;8;2e-05
https://auckland.figshare.com/;2;2e-05
https://aurora.auburn.edu/;1;0.00019
https://bacdive.dsmz.de/;3;0.004456666666666667
https://bbd.labworks.org/;3;0.0
https://bdc.c3sl.ufpr.br/;6;0.00015999999999999999
https://beta.ukdataservice.ac.uk/;92;0.0003733333333333332
https://bioenergykdf.net/;1;1e-05
https://bl.iro.bl.uk/;2;0.0
https://borealisdata.ca/;48;0.0
https://bridges.monash.edu/;2;0.0
https://brill.figshare.com/;1;6.666666666666667e-06
https://buleria.unileon.es/;1;0.03159666666666667
https://canwin-datahub.ad.umanitoba.ca/;1;0.0
